235.60,17464,-912,-1004,171,-68,-68
235.52,17836,-1056,-1020,-25,-64,-64
235.60,17176,-1264,-1696,-261,607,607
235.60,17504,-316,-876,1815,-212,-212
235.52,17468,-388,-832,-166,-187,-187
234.75,18180,-1456,-496,-913,885,885
235.01,17892,-1712,-1132,-1617,425,425
235.35,17488,-400,-680,-1475,44,44
235.60,17512,-1448,-1572,31,-384,-384
235.52,17440,-416,-1140,-385,69,69
235.86,17504,-560,-1000,-176,-224,-224
235.60,17468,-748,-692,-161,-104,-104
235.43,16260,1448,2156,-14103,-633,-633
235.69,16440,-992,-724,-8293,1404,1404
235.43,19372,-1112,616,-3456,-349,-349
235.01,17344,-2304,-368,789,-410,-410
235.60,17432,-464,-1268,168,-105,-105
235.01,16952,-996,180,-335,-57,-57
235.43,17600,-592,-872,57,196,196
235.60,17652,-580,-648,-192,-538,-538
235.01,17332,-1360,-584,-264,-34,-34
235.60,17528,-660,-820,-428,12,12
235.60,17236,-1492,-420,-1007,569,569
235.35,17528,-600,-872,-87,94,94
235.43,17392,-1052,-524,251,25,25
234.92,12624,8684,11032,-8834,-250,-250
235.52,17908,-1580,-3764,-1811,132,132
235.77,17988,-712,-344,238,-665,-665
235.86,17676,-888,-1332,138,424,424
234.83,17464,-1328,-516,-258,-406,-406
235.69,18192,-1176,-1048,-255,52,52
235.86,17964,-1216,-1540,2125,-664,-664
235.60,17384,-3252,-2000,1037,-1147,-1147
235.69,17304,-1736,92,2772,636,636
235.69,17244,48,-1016,-677,-3730,-3730
235.52,17200,-1476,-3132,-18057,4337,4337
235.69,17812,-1544,-712,-9145,-821,-821
235.77,17876,-1836,-3928,-351,-1233,-1233
236.03,17664,-1736,-1828,897,841,841
235.01,17764,128,-3272,1327,-1429,-1429
235.69,17700,300,-1536,4358,-708,-708
235.69,18648,752,-552,-1745,1738,1738
235.52,15420,-2052,872,-5431,-661,-661
235.52,16876,-4108,-1508,-1948,-1809,-1809
235.60,19456,-1608,-2768,-1296,-1852,-1852
236.03,19440,2124,1680,-3239,-2516,-2516
236.03,13932,-24,1252,-4483,1591,1591
235.86,16812,1992,996,-2445,2101,2101
235.77,17444,2196,5936,916,1865,1865
235.43,15116,1336,4452,373,-2209,-2209
235.52,17484,756,364,2626,-2177,-2177
235.94,17772,1892,144,1665,-2361,-2361
236.03,15712,1812,-196,2240,1035,1035
236.03,19108,3408,24,5784,-1509,-1509
235.43,14964,1596,1980,-54,192,192
235.77,20548,112,1332,-11565,-1550,-1550
235.35,15548,-4816,-368,-2883,82,82
235.69,16588,-92,816,-131,948,948
235.94,17748,-1424,-1504,-7018,-2343,-2343
235.77,16332,-584,-672,-8976,1123,1123
235.86,17228,812,228,-1735,1335,1335
235.35,17396,408,128,74,1815,1815
235.77,17148,600,-900,-13,316,316
235.77,17224,548,520,-1705,-339,-339
235.86,17668,1092,-108,-1775,-1126,-1126
235.60,18068,944,-2036,1250,857,857
232.28,17512,436,-272,4448,1896,1896
235.01,17340,-560,1524,5354,4,4
236.20,16948,-4,672,6398,94,94
236.03,16928,-2744,368,7495,938,938
235.35,17788,-1828,2144,4943,-2366,-2366
235.86,16464,-1076,1288,2443,-894,-894
235.77,19052,-1524,808,-3046,-2574,-2574
236.11,15564,-1552,488,-4739,1402,1402
235.69,17100,-1928,728,-3839,-576,-576
235.77,17024,-1736,2388,-5354,368,368
235.69,17904,-1184,2240,-9054,785,785
236.03,14672,-1720,2880,-10101,4186,4186
236.45,19924,332,2464,-8104,-1787,-1787
235.86,15352,-1004,36,-3070,-509,-509
236.11,16628,-1744,2420,-4374,991,991
236.11,18164,-1504,504,-1213,18,18
235.94,14600,-8,1644,2635,763,763
235.77,19876,-1772,900,-2201,-1800,-1800
236.03,16664,-1508,-1020,-1190,-966,-966
235.86,16408,-520,328,-1410,-1187,-1187
235.86,18088,-1856,836,-1833,-1599,-1599
235.60,15816,-2628,168,-507,-343,-343
235.43,20756,-1012,-44,1018,-1223,-1223
235.69,15188,-1404,724,1707,-588,-588
236.20,17916,-1492,2176,-379,5082,5082
236.03,18320,144,2276,226,-321,-321
236.03,14136,1156,1440,1236,594,594
235.86,19408,-500,2128,-403,-1685,-1685
